06489J91J00X  C1995 06 01.41367 15 20 48.11 +11 28 18.6                c25270608
06489J91J00X  C1995 06 01.46227 15 21 18.70 +11 35 16.6                c25270608
06489J91J00X  C1995 06 01.46311 15 21 19.25 +11 35 24.0                c25270608
06489J91J00X  C1995 06 01.46391 15 21 19.77 +11 35 31.0                c25270608
06489J91J00X  C1995 06 01.90706 15 26 46.89 +12 40 41.2          14.0 R 25265476
06489J91J00X  C1995 06 01.91123 15 26 49.79 +12 41 19.9          14.0 R 25265476
06489J91J00X  C1995 06 02.33719 15 32 25.41 +13 49 52.0                c25270608
06489J91J00X  C1995 06 02.33804 15 32 26.08 +13 50 00.3                c25270608
06489J91J00X  C1995 06 02.33898 15 32 26.76 +13 50 09.2                c25270608
06489J91J00X  C1995 06 02.35676 15 32 39.94 +13 53 04.1                c25270608
06489J91J00X  C1995 06 02.35760 15 32 40.56 +13 53 12.4                c25270608
06489J91J00X  C1995 06 02.35921 15 32 41.76 +13 53 28.2                c25270608
06489J91J00X  C1995 06 02.36010 15 32 42.40 +13 53 36.8                c25270608
06489J91J00X 1C1995 06 02.55201415 35 18.88 +14 27 50.7                 25264413
06489J91J00X 1C1995 06 02.55392115 35 20.36 +14 28 09.9                 25264413
06489J91J00X 1C1995 06 03.68393315 52 53.11 +17 50 54.3                 25264413
06489J91J00X 1C1995 06 03.68692215 52 56.08 +17 51 27.7                 25264413
06489J91J00X 1C1995 06 03.68944815 52 58.59 +17 51 56.4                 25264413
06489J91J00X 1C1995 06 04.52838916 08 57.50 +20 40 52.6                 25264413
06489J91J00X 1C1995 06 04.53241816 09 02.10 +20 41 43.4                 25264413
06489J91J00X 1C1995 06 04.58525216 10 02.80 +20 52 49.5                 25264413
06489J91J00X 1C1995 06 04.58672416 10 04.48 +20 53 08.1                 25264413
06489J91J00X  C1995 06 05.58721 16 32 50.30 +24 28 52.4          14.1 Vm25262367
06489J91J00X  C1995 06 05.58958 16 32 53.68 +24 29 24.6                m25262367
06489J91J00X  C1995 06 05.59134 16 32 56.15 +24 29 49.1                m25262367
06489J91J00X  C1995 06 05.59333 16 32 58.95 +24 30 16.0                m25262367
06489J91J00X 1C1995 06 05.60662716 33 13.84 +24 37 06.6                 25264413
06489J91J00X 1C1995 06 05.60826116 33 16.13 +24 37 28.8                 25264413
06489J91J00X 1C1995 06 05.60965616 33 18.11 +24 37 47.5                 25264413
06489J91J00X  C1995 06 05.92396 16 41 30.40 +25 45 12.2          13.3 R 25265476
06489J91J00X  C1995 06 05.92951 16 41 38.84 +25 46 28.9          13.4 R 25265476
06489J91J00X  C1995 06 06.91065 17 10 08.96 +29 33 40.8          13.0 R 25371476
06489J91J00X  C1995 06 06.91701 17 10 20.61 +29 35 10.8          13.0 R 25371476
06489J91J00X  C1995 06 06.93102 17 10 46.08 +29 38 27.3          13.0 R 25371476
06489J91J00X  C1995 06 07.98889 17 47 06.31 +33 33 08.5          13.7 Vz25363104
06489J91J00X  C1995 06 07.98993 17 47 08.55 +33 33 21.9                z25363104
06489J91J00X  C1995 06 07.99086 17 47 10.50 +33 33 33.3                z25363104
06489J91J00X  C1995 06 07.99398 17 47 17.17 +33 34 12.6                z25363104
06489J91J00X  C1995 06 07.99491 17 47 19.15 +33 34 24.2                z25363104
06489J91J00X  C1995 06 07.99606 17 47 21.60 +33 34 37.7                z25363104
06489J91J00X  C1995 06 14.50644 21 52 10.14 +38 12 43.0                c25375608
06489J91J00X  C1995 06 14.50823 21 52 12.77 +38 12 35.5                c25375608
06489J91J00X  C1995 06 14.54051 21 52 59.60 +38 10 16.6                c25375608
06489J91J00X  C1995 06 14.54130 21 53 00.73 +38 10 13.3                c25375608
06489J91J00X  C1995 06 14.54208 21 53 01.87 +38 10 09.6                c25375608
06489J91J00X  C1995 06 14.54304 21 53 03.24 +38 10 05.5                c25375608
06489J91J00X  C1995 06 15.89458 22 23 33.76 +36 16 22.2          15.4 Rz25371540
06489J91J00X  C1995 06 15.89595 22 23 35.36 +36 16 16.5          15.4 Rz25371540
06489J91J00X  C1995 06 15.89716 22 23 36.82 +36 16 10.4          15.4 Rz25371540
06489J91J00X  C1995 06 15.89855 22 23 38.52 +36 16 04.2          15.1 Rz25371540
06489         C1995 06 24.43370 23 53 45.26 +27 11 28.5                 25613711
06489         C1995 06 25.44081 23 58 54.39 +26 30 09.6                 25613711
06489         C1995 06 25.44570 23 58 55.64 +26 29 58.8                 25613711
06489        1C1995 06 30.42868 00 17 48.70 +23 49 48.9                z26659658
06489        1C1995 06 30.43177 00 17 49.20 +23 49 44.4                z26659658
06489J91J00X  C1995 07 04.31429 00 27 41.19 +22 21 06.6          17.3 Rz25405817
06489J91J00X  C1995 07 04.32181 00 27 42.02 +22 20 58.2          17.8 Rz25405817
06489        1C1995 07 20.74506 00 48 39.20 +18 34 16.0                 25479413
06489        1C1995 07 20.74775 00 48 39.26 +18 34 14.4                 25479413
06489        1C1995 07 20.75042 00 48 39.31 +18 34 12.6                 25479413
06489         C1995 07 21.97653 00 49 22.60 +18 20 17.3          17.7 Rz25480540
06489         C1995 07 21.98347 00 49 22.84 +18 20 12.9          17.7 Rz25480540
06489         C1995 07 21.99345 00 49 23.09 +18 20 06.9          17.4 Rz25480540
